Day,Size
2012-09-01,494
2012-09-02,489
2012-09-03,485
2012-09-04,481
2012-09-05,477
2012-09-06,517
2012-09-07,523
2012-09-08,519
2012-09-09,512
2012-09-10,507
2012-09-11,501
2012-09-12,494
2012-09-13,487
2012-09-14,484
2012-09-15,476
2012-09-16,474
2012-09-17,476
2012-09-18,479
2012-09-19,477
2012-09-20,472
2012-09-21,468
2012-09-22,465
2012-09-23,460
2012-09-24,456
2012-09-25,452
2012-09-26,450
2012-09-27,447
2012-09-28,445
2012-09-29,440
2012-09-30,436
2012-10-01,430
2012-10-02,427
2012-10-03,425
2012-10-04,426
2012-10-05,426
2012-10-06,427
2012-10-07,427
2012-10-08,428
2012-10-09,428
2012-10-10,428
2012-10-11,428
2012-10-12,477
2012-10-13,476
2012-10-14,474
2012-10-15,473
2012-10-16,474
2012-10-17,474
2012-10-18,474
2012-10-19,474
2012-10-20,474
2012-10-21,474
2012-10-22,474
2012-10-23,474
2012-10-24,475
2012-10-25,476
2012-10-26,477
2012-10-27,476
2012-10-28,476
2012-10-29,478
2012-10-30,478
2012-10-31,479
2012-11-01,480
2012-11-02,479
2012-11-03,480
2012-11-04,481
2012-11-05,483
2012-11-06,483
2012-11-07,573
2012-11-08,573
2012-11-09,573
2012-11-10,573
2012-11-11,574
2012-11-12,574
2012-11-14,574
2012-11-15,574
2012-11-16,575
2012-11-17,577
2012-11-18,578
2012-11-19,577
2012-11-20,579
2012-11-21,579
2012-11-22,579
2012-11-23,581
2012-11-24,581
2012-11-25,582
2012-11-26,581
2012-11-27,583
2012-11-28,583
2012-11-29,581
2012-11-30,583
2012-12-01,583
2012-12-02,587
2012-12-03,586
2012-12-04,581
2012-12-05,586
2012-12-06,585
2012-12-07,588
2012-12-08,586
2012-12-09,585
2012-12-10,586
2012-12-11,587
2012-12-12,587
2012-12-13,590
2012-12-14,587
2012-12-15,588
2012-12-16,590
2012-12-17,592
2012-12-18,589
2012-12-19,590
2012-12-20,588
2012-12-21,592
2012-12-22,590
2012-12-23,589
2012-12-24,592
2012-12-25,590
2012-12-26,591
2012-12-27,590
2012-12-28,591
2012-12-29,592
2012-12-30,592
2012-12-31,592
2013-01-01,592
2013-01-02,592
2013-01-03,591
2013-01-04,595
2013-01-05,593
2013-01-06,594
2013-01-09,584
2013-01-11,592
2013-01-12,592
2013-01-13,592
2013-01-14,592
2013-01-15,591
2013-01-16,592
2013-01-17,592
2013-01-18,592
2013-01-19,592
2013-01-20,592
2013-01-21,593
2013-01-22,592
2013-01-23,592
2013-01-24,591
2013-01-25,591
2013-01-26,591
2013-01-27,592
2013-01-28,592
2013-01-29,592
2013-01-30,592
2013-01-31,593
2013-02-01,593
2013-02-02,593
2013-02-03,593
2013-02-04,593
2013-02-05,593
2013-02-06,593
2013-02-07,593
2013-02-08,593
2013-02-09,593
2013-02-10,594
2013-02-11,594
2013-02-12,594
2013-02-13,594
2013-02-14,594
2013-02-15,594
2013-02-16,594
2013-02-17,594
2013-02-18,594
2013-02-19,594
2013-02-20,595
2013-02-21,595
2013-02-22,595
2013-02-23,595
2013-02-24,594
2013-02-25,589
2013-02-26,587
2013-02-27,592
2013-02-28,597
2013-03-01,601
2013-03-02,601
2013-03-03,601
2013-03-04,602
2013-03-05,599
2013-03-06,584
2013-03-07,563
2013-03-08,553
2013-03-09,546
2013-03-10,541
2013-03-11,537
2013-03-12,534
2013-03-13,530
2013-03-14,528
2013-03-15,527
2013-03-16,529
2013-03-17,528
2013-03-18,527
2013-03-19,527
2013-03-20,526
2013-03-21,524
2013-03-22,524
2013-03-23,525
2013-03-24,520
2013-03-25,520
2013-03-26,519
2013-03-27,522
2013-03-28,525
2013-03-29,526
2013-03-30,525
2013-03-31,525
2013-04-01,526
2013-04-02,525
2013-04-03,524
2013-04-04,522
2013-04-05,524
2013-04-06,525
2013-04-07,522
2013-04-08,521
2013-04-09,520
2013-04-10,520
2013-04-11,522
2013-04-12,519
2013-04-13,519
2013-04-14,518
2013-04-15,518
2013-04-16,518
2013-04-17,519
2013-04-18,518
2013-04-19,517
2013-04-20,517
2013-04-21,519
2013-04-22,518
2013-04-23,517
2013-04-24,517
2013-04-25,517
2013-04-26,517
2013-04-27,517
2013-04-28,517
2013-04-29,518
2013-04-30,518
2013-05-01,517
2013-05-02,519
2013-05-03,520
2013-05-04,521
2013-05-05,520
2013-05-06,520
2013-05-07,521
2013-05-08,520
2013-05-09,520
2013-05-10,520
2013-05-11,521
2013-05-12,521
2013-05-13,519
2013-05-14,518
2013-05-15,519
2013-05-16,518
2013-05-17,519
2013-05-18,518
2013-05-19,518
2013-05-20,518
2013-05-21,517
2013-05-22,522
2013-05-23,521
2013-05-24,522
2013-05-25,521
2013-05-26,519
2013-05-27,519
2013-05-28,520
2013-05-29,519
2013-05-30,520
2013-05-31,519
2013-06-01,518
2013-06-02,519
2013-06-03,520
2013-06-04,518
2013-06-05,519
2013-06-06,519
2013-06-07,518
2013-06-08,518
2013-06-09,519
2013-06-10,517
2013-06-11,517
2013-06-12,518
2013-06-13,518
2013-06-14,518
2013-06-15,517
2013-06-16,517
2013-06-17,516
2013-06-18,518
2013-06-19,515
2013-06-20,516
2013-06-21,518
2013-06-22,516
2013-06-23,517
2013-06-24,517
2013-06-25,516
2013-06-26,516
2013-06-27,516
2013-06-28,515
2013-06-29,508
2013-06-30,505
2013-07-01,503
2013-07-02,502
2013-07-03,501
2013-07-04,499
2013-07-05,501
2013-07-06,500
2013-07-07,499
2013-07-08,499
2013-07-09,500
2013-07-10,500
2013-07-11,500
2013-07-12,498
2013-07-13,500
2013-07-14,499
2013-07-15,498
2013-07-16,499
2013-07-17,499
2013-07-18,499
2013-07-19,499
2013-07-20,500
2013-07-21,500
2013-07-22,502
2013-07-23,500
2013-07-24,500
2013-07-25,500
2013-07-26,500
2013-07-27,499
2013-07-28,500
2013-07-29,496
2013-07-30,496
2013-07-31,496
2013-08-01,496
2013-08-02,497
2013-08-03,495
2013-08-04,495
2013-08-05,496
2013-08-06,495
2013-08-07,495
2013-08-08,496
2013-08-09,496
2013-08-10,495
2013-08-11,492
2013-08-12,492
2013-08-13,492
2013-08-14,492
2013-08-15,492
2013-08-16,492
2013-08-17,492
2013-08-18,491
2013-08-19,492
2013-08-20,491
2013-08-21,491
2013-08-22,493
2013-08-23,492
2013-08-24,492
2013-08-25,493
2013-08-26,492
2013-08-27,494
2013-08-28,492
2013-08-29,494
2013-08-30,493
2013-08-31,494
2013-09-01,494
2013-09-02,492
2013-09-03,491
2013-09-04,492
2013-09-05,493
2013-09-06,493
2013-09-07,493
2013-09-08,493
2013-09-09,492
2013-09-10,493
2013-09-11,493
2013-09-12,493
2013-09-13,493
2013-09-14,493
2013-09-15,493
2013-09-16,494
2013-09-17,493
2013-09-18,494
2013-09-19,495
2013-09-20,494
2013-09-21,495
2013-09-22,494
2013-09-23,495
2013-09-24,494
2013-09-25,494
2013-09-26,495
2013-09-27,495
2013-09-28,493
2013-09-29,494
2013-09-30,494
2013-10-01,493
2013-10-02,495
2013-10-03,494
2013-10-04,494
2013-10-05,494
2013-10-06,495
2013-10-07,495
2013-10-08,496
2013-10-09,494
2013-10-10,494
2013-10-11,496
2013-10-12,495
2013-10-13,495
2013-10-14,496
2013-10-15,495
2013-10-16,495
2013-10-17,497
2013-10-18,496
2013-10-19,496
2013-10-20,497
2013-10-21,498
2013-10-22,496
2013-10-23,497
2013-10-24,497
2013-10-25,497
2013-10-26,498
2013-10-27,498
2013-10-28,498
2013-10-29,499
2013-10-30,498
2013-10-31,498
2013-11-01,497
2013-11-02,499
2013-11-03,499
2013-11-04,498
2013-11-05,500
